================================================================================
RAPPORT D'EXTRACTION - BiographieNationale Volume 1
================================================================================

Biographies extraites : 458
Renvois (Voir...) ignorés : 133
Faux positifs ignorés : 25
Total entrées détectées : 616

--- ALERTES (2 entrées courtes < 150 car.) ---
  AUVIN (Jean D') ou DAUVIN.txt | 336 mots | 1994 car. | OK
  AUMEGHEM (Charles VAN).txt | 149 mots | 866 car. | OK
  AVEROULT (Antoine D') OU AVROULTIUS.txt | 365 mots | 2220 car. | OK
  AVESNES (Baudouin D').txt | 644 mots | 3773 car. | OK
  AVESNES (Bouchard D').txt | 1380 mots | 8803 car. | OK
  AVESNES (Jacques D').txt | 283 mots | 1662 car. | OK
  AVILA (Balthasar D').txt | 380 mots | 2329 car. | OK
  AVOINE (Pierre-Joseph D').txt | 688 mots | 4366 car. | OK
  AVONT (Pierre VAN) ou VANDEN AVONT.txt | 279 mots | 1677 car. | OK
  AWAIGNE (Hilaire D').txt | 180 mots | 1158 car. | OK
  AXONIUS (Joachim).txt | 232 mots | 1501 car. | OK
  AXPOELE ou AXELPOELE (VAN).txt | 214 mots | 1250 car. | OK
  AXPOELE ou AXELPOELE (Guillaume VAN).txt | 563 mots | 3580 car. | OK
  AYALA (Balthazar).txt | 396 mots | 2387 car. | OK
  AYALA (Gabriel).txt | 381 mots | 2428 car. | OK
  AYASASA (Antoine-Albert-Joseph, comte D').txt | 339 mots | 2167 car. | OK
  AYE (Sainte).txt | 351 mots | 2151 car. | OK
  AYNSCOM (François-Xavier).txt | 639 mots | 4132 car. | OK
  AYTONA (don Francisco de Moncada, marquis D').txt | 4418 mots | 25937 car. | OK
  AYTTA (Viglius D').txt | 1625 mots | 10271 car. | OK
  AYTTA DE ZUICHEM (Bucho D').txt | 194 mots | 1230 car. | OK
  AZEVEDO-CONTINHO-Y-BERNAL (Gérard-Dominique).txt | 330 mots | 2017 car. | OK
  AZEVEDO-CONTINHO-Y-BERNAL (Joseph-Félix).txt | 135 mots | 880 car. | OK
  BABOLIN I (Saint).txt | 348 mots | 2105 car. | OK
  BACK (Godefroid) ou BAC.txt | 1181 mots | 7446 car. | OK
  BACK (Martin).txt | 180 mots | 1067 car. | OK
  BACKEREEL (Gilles).txt | 214 mots | 1280 car. | OK
  BACKEREEL (Guillaume).txt | 85 mots | 501 car. | OK
  BACKHUYSEN (Tilman- Guillaume).txt | 1306 mots | 8387 car. | OK
  BACKX (Rombaut).txt | 327 mots | 1965 car. | OK
  BADENS (François).txt | 190 mots | 1197 car. | OK
  BADENS (Jean).txt | 118 mots | 696 car. | OK
  BADIUS (Josse) ou BADE.txt | 1827 mots | 11556 car. | OK
  CONRAD BADIUS.txt | 269 mots | 1741 car. | OK
  BADOUX (Robert DE).txt | 72 mots | 438 car. | OK
  BAECHEM DE EGMUNDA (Nicolas).txt | 357 mots | 2156 car. | OK
  BAECX VAN BAERLANDT (Adrien).txt | 555 mots | 3383 car. | OK
  BAENST (Paul DE).txt | 572 mots | 3374 car. | OK
  BAERLE (Gaspard VAN).txt | 725 mots | 4571 car. | OK
  BAERLE (Melchior VAN).txt | 448 mots | 2786 car. | OK
  BAERSDORP (Corneille VAN).txt | 1456 mots | 8967 car. | OK
  BAERT (Arnould).txt | 650 mots | 3881 car. | OK
  BAERT (François).txt | 491 mots | 3068 car. | OK
  BAERT (Laurent).txt | 125 mots | 723 car. | OK
  BAERT (Philippe).txt | 302 mots | 1975 car. | OK
  BAERTS (Lambert).txt | 68 mots | 428 car. | OK
  BAES (Martin).txt | 976 mots | 5810 car. | OK
  BAILLEHAUS (Jehan).txt | 306 mots | 1818 car. | OK
  BAILLENCOURT (François).txt | 231 mots | 1433 car. | OK
  BAILLET-LATOUR (Charles-Antoine-Maximilien-Joseph comte DE).txt | 1473 mots | 9397 car. | OK
  BAILLET (Christophe-Ernest comte DE).txt | 250 mots | 1574 car. | OK
  BAILLET (Jean-Baptiste-François-Hyacinthe.txt | 115 mots | 708 car. | OK
  BAILLET (Louis-Willebrod-Antoine comte DE BAILLET-LATOUR).txt | 337 mots | 2102 car. | OK
  BAILLIEUR (Corneille DE).txt | 53 mots | 332 car. | OK
  BAILLU (Bernard) ou BALLIU.txt | 396 mots | 2365 car. | OK
  BAILLU (Pierre) ou DE BAILLIU.txt | 738 mots | 4489 car. | OK
  BAILLU (Ernest-Joseph) ou BAILLY.txt | 1059 mots | 6634 car. | OK
  BAIN ou BAINUS (Saint).txt | 195 mots | 1145 car. | OK
  BAL (Henri).txt | 197 mots | 1114 car. | OK
  BALBIAN (Corneille VAN).txt | 65 mots | 375 car. | OK
  BALBIAN (Josse VAN).txt | 171 mots | 1005 car. | OK
